Date,Value
2022-07-17,0.4473528099
2022-07-24,0.5138142593
2022-07-31,0.5170200768
2022-08-07,0.5274701218
2022-08-14,0.5703429036
2022-08-21,0.4635464265
2022-08-28,0.4300491962
2022-09-04,0.5030839715
2022-09-11,0.5097522381
2022-09-18,0.4471861262
2022-09-25,0.4461877059
2022-10-02,0.4196325876
2022-10-09,0.4230721792
2022-10-16,0.3702812154
2022-10-23,0.3620990253
2022-10-30,0.4060473424
2022-11-06,0.4030048688
2022-11-13,0.330126986
2022-11-20,0.3123071133
2022-11-27,0.3124539832
2022-12-04,0.3227496906
2022-12-11,0.3077110321
2022-12-18,0.2663354657
2022-12-25,0.2592699934
2023-01-01,0.2497706003
2023-01-08,0.2952176578
2023-01-15,0.3503679456
2023-01-22,0.376594055
2023-01-29,0.3963126949
2023-02-05,0.3924720225
2023-02-12,0.3642964007
2023-02-19,0.4001071597
2023-02-26,0.368973217
2023-03-05,0.3371016968
2023-03-12,0.3315393826
2023-03-19,0.346009667
2023-03-26,0.3562454397
2023-04-02,0.3817529542
2023-04-09,0.3896925985
2023-04-16,0.4517552208
2023-04-23,0.3890003965
2023-04-30,0.3973536325
2023-05-07,0.3769061416
2023-05-14,0.3707606872
2023-05-21,0.3603634235
2023-05-28,0.3829994296
2023-06-04,0.3776931769
2023-06-11,0.2726298136
2023-06-18,0.2609629662
2023-06-25,0.2923247786
2023-07-02,0.2920549557
2023-07-09,0.28459137
2023-07-16,0.3148836836
2023-07-23,0.3171633896
2023-07-30,0.3156331123
2023-08-06,0.2920819052
2023-08-13,0.2895309679
2023-08-20,0.270709139
2023-08-27,0.2634461155
2023-09-03,0.2557931767
2023-09-10,0.2490521684
2023-09-17,0.2473157819
2023-09-24,0.2430263282
2023-10-01,0.2658952489
2023-10-08,0.2566289833
2023-10-15,0.247356044
2023-10-22,0.2635729261
2023-10-29,0.2952827666
2023-11-05,0.3428698419
2023-11-12,0.3833825469
2023-11-19,0.3845247446
2023-11-26,0.388184707
2023-12-03,0.3951549722
2023-12-10,0.5941550953
2023-12-17,0.5803143424
2023-12-24,0.5939552556
2023-12-31,0.594204769
2024-01-07,0.4941735278
2024-01-14,0.5259807145
2024-01-21,0.5031052729
2024-01-28,0.4897186335
2024-02-04,0.4942563379
2024-02-11,0.5414097959
2024-02-18,0.6187338514
2024-02-25,0.591378706
2024-03-03,0.7282376547
2024-03-10,0.717226948
2024-03-17,0.6810988577
2024-03-24,0.6461569558
2024-03-31,0.6504271562
2024-04-07,0.5894736813
2024-04-14,0.4689110376
2024-04-21,0.4992923511
2024-04-28,0.4604744818
2024-05-05,0.4583344238
2024-05-12,0.4376527838
2024-05-19,0.4676020802
2024-05-26,0.4583749224
2024-06-02,0.4464940812
2024-06-09,0.4441064547
2024-06-16,0.4163789195
2024-06-23,0.3803033029
2024-06-30,0.3921916801
2024-07-07,0.3466183361
2024-07-14,0.4323477941
2024-07-21,0.4460774058
2024-07-28,0.4073870857
2024-08-04,0.343937541
2024-08-11,0.3283220959
2024-08-18,0.3348308919
2024-08-25,0.3849789529
2024-09-01,0.3317395116
2024-09-08,0.3386593134
2024-09-15,0.3385230135
2024-09-22,0.3517718959
2024-09-29,0.397596552
2024-10-06,0.3572301643
2024-10-13,0.3480338531
2024-10-20,0.3648413974
2024-10-27,0.3398721513
2024-11-03,0.3342846917
2024-11-10,0.5903091695
2024-11-17,0.7023254287
2024-11-24,1.0231061746
2024-12-01,1.1552518684
2024-12-08,1.1962913279
2024-12-15,1.1017075305
2024-12-22,0.8829756791
2024-12-29,0.8586404983
2025-01-05,1.0934667765
2025-01-12,0.968555094
2025-01-19,0.9911910263
2025-01-26,0.954855997
2025-02-02,0.801740224
2025-02-09,0.6827005893
2025-02-16,0.7720048048
