Date,Value
2014-11-28,376.28
2014-11-29,376.72
2014-11-30,373.34
2014-12-01,378.39
2014-12-02,379.25
2014-12-03,376.67
2014-12-04,365.2
2014-12-05,374.95
2014-12-06,375.07
2014-12-07,376.87
2014-12-08,364.61
2014-12-09,350.49
2014-12-10,348.13
2014-12-11,348.98
2014-12-12,354.48
2014-12-13,351.45
2014-12-14,350.17
2014-12-15,350.17
2014-12-16,330.02
2014-12-17,321.1
2014-12-18,312.17
2014-12-19,318.0
2014-12-20,329.99
2014-12-21,323.15
2014-12-22,330.52
2014-12-23,335.49
2014-12-24,322.14
2014-12-25,319.39
2014-12-26,330.88
2014-12-27,315.89
2014-12-28,316.63
2014-12-29,314.78
2014-12-30,311.94
2014-12-31,319.25
2015-01-01,316.31
2015-01-02,316.51
2015-01-03,286.01
2015-01-04,264.62
2015-01-05,276.8
2015-01-06,276.8
2015-01-07,276.8
2015-01-08,276.8
2015-01-09,276.8
2015-01-10,276.8
2015-01-11,276.8
2015-01-12,268.16
2015-01-13,221.0
2015-01-14,162.0
2015-01-15,208.81
2015-01-16,206.6
2015-01-17,200.1
2015-01-18,211.42
2015-01-19,216.88
2015-01-20,211.08
2015-01-21,228.59
2015-01-22,233.0
2015-01-23,233.03
2015-01-24,249.99
2015-01-25,253.09
2015-01-26,269.5
2015-01-27,262.99
2015-01-28,236.2
2015-01-29,234.75
2015-01-30,232.6
2015-01-31,217.98
2015-02-01,214.8
2015-02-02,237.97
2015-02-03,227.35
2015-02-04,227.0
2015-02-05,217.0
2015-02-06,222.88
2015-02-07,228.61
2015-02-08,224.19
2015-02-09,220.72
2015-02-10,220.95
2015-02-11,219.12
2015-02-12,222.46
2015-02-13,236.86
2015-02-14,257.9
2015-02-15,234.01
2015-02-16,236.55
2015-02-17,244.96
2015-02-18,235.79
2015-02-19,242.67
2015-02-20,246.1
2015-02-21,245.87
2015-02-22,236.68
2015-02-23,238.92
2015-02-24,239.69
2015-02-25,238.0
2015-02-26,236.7
2015-02-27,253.06
2015-02-28,252.98
2015-03-01,255.81
2015-03-02,274.0
2015-03-03,279.0
2015-03-04,269.83
2015-03-05,273.8
2015-03-06,273.26
2015-03-07,275.59
2015-03-08,274.89
2015-03-09,287.0
2015-03-10,290.24
2015-03-11,295.11
