timeOpen,Date,timeHigh,timeLow,name,open,high,low,Value,volume,marketCap,timestamp
"2025-02-10T00:00:00.000Z","2025-02-16T23:59:59.999Z","2025-02-14T18:08:00.000Z","2025-02-10T02:32:00.000Z","2781",0.6827727314,0.82707938,0.6656032397,0.7720048048,7117422817.62,27175367979.8,"2025-02-16T23:59:59.999Z"
"2025-02-03T00:00:00.000Z","2025-02-09T23:59:59.999Z","2025-02-03T22:31:00.000Z","2025-02-03T02:10:00.000Z","2781",0.8017533085,0.8229945448,0.5648374894,0.6827005893,10154660893.14,24031690316.53,"2025-02-09T23:59:59.999Z"
"2025-01-27T00:00:00.000Z","2025-02-02T23:59:59.999Z","2025-01-30T15:13:00.000Z","2025-02-02T23:33:00.000Z","2781",0.9548213338,0.9862493962,0.7710753995,0.801740224,7201768631.39,28210404249.11,"2025-02-02T23:59:59.999Z"
"2025-01-20T00:00:00.000Z","2025-01-26T23:59:59.999Z","2025-01-20T08:27:00.000Z","2025-01-23T11:13:00.000Z","2781",0.9911685015,1.0967014338,0.9537473473,0.954855997,8570048526.33,33590830438.81,"2025-01-26T23:59:59.999Z"
"2025-01-13T00:00:00.000Z","2025-01-19T23:59:59.999Z","2025-01-17T21:13:00.000Z","2025-01-13T14:37:00.000Z","2781",0.9685336848,1.1636751423,0.8893385042,0.9911910263,15339462496.17,34860727928.46,"2025-01-19T23:59:59.999Z"
"2025-01-06T00:00:00.000Z","2025-01-12T23:59:59.999Z","2025-01-07T11:25:00.000Z","2025-01-09T14:08:00.000Z","2781",1.0934635743,1.1501633234,0.8837611459,0.968555094,12605740088.74,34051912162.7,"2025-01-12T23:59:59.999Z"
"2024-12-30T00:00:00.000Z","2025-01-05T23:59:59.999Z","2025-01-03T20:59:00.000Z","2024-12-30T15:38:00.000Z","2781",0.8586409899,1.1160989636,0.8309826733,1.0934667765,9893462790.23,38436506288.75,"2025-01-05T23:59:59.999Z"
"2024-12-23T00:00:00.000Z","2024-12-29T23:59:59.999Z","2024-12-24T15:47:00.000Z","2024-12-29T23:27:00.000Z","2781",0.8829843207,0.9477131291,0.852289838,0.8586404983,6582218324.43,30165682047.15,"2024-12-29T23:59:59.999Z"
"2024-12-16T00:00:00.000Z","2024-12-22T23:59:59.999Z","2024-12-16T16:43:00.000Z","2024-12-20T12:03:00.000Z","2781",1.1016655302,1.1157064349,0.7658894261,0.8829756791,17207625291.51,31015857015.49,"2024-12-22T23:59:59.999Z"
"2024-12-09T00:00:00.000Z","2024-12-15T23:59:59.999Z","2024-12-09T00:00:00.000Z","2024-12-10T18:13:00.000Z","2781",1.1962964152,1.1964147386,0.9149686701,1.1017075305,19846670434.47,38689741323.37,"2024-12-15T23:59:59.999Z"
